Year,State / County Name,County,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,All Ages in Poverty Count LB 90%,All Ages in Poverty Count UB 90%,90% Confidence Interval (All Ages in Poverty Count),All Ages in Poverty Percent,All Ages in Poverty Percent LB 90%,All Ages in Poverty Percent UB 90%,90% Confidence Interval (All Ages in Poverty Percent),Median Household Income in Dollars,Median Household Income in Dollars LB 90%,Median Household Income in Dollars UB 90%,90% Confidence Interval (Median Household Income in Dollars)
2012,United States,,"306,086,063","48,760,123","48,528,543","48,991,703","48,528,543 to 48,991,703",15.9,15.8,16,15.8 to 16.0,"$51,371","$51,318","$51,424","$51,318 to $51,424"
2012,New York,,"19,064,060","3,040,207","3,009,308","3,071,106","3,009,308 to 3,071,106",15.9,15.7,16.1,15.7 to 16.1,"$56,357","$55,989","$56,725","$55,989 to $56,725"
2012,Albany County (NY),Albany,"290,316","40,180","36,776","43,584","36,776 to 43,584",13.8,12.6,15,12.6 to 15.0,"$57,951","$55,661","$60,241","$55,661 to $60,241"
2012,Allegany County (NY),Allegany,"43,727","8,011","6,777","9,245","6,777 to 9,245",18.3,15.5,21.1,15.5 to 21.1,"$41,623","$38,916","$44,330","$38,916 to $44,330"
2012,Bronx County (NY),Bronx,"1,370,650","422,828","405,941","439,715","405,941 to 439,715",30.8,29.6,32,29.6 to 32.0,"$32,510","$31,621","$33,399","$31,621 to $33,399"
2012,Broome County (NY),Broome,"188,218","32,534","29,070","35,998","29,070 to 35,998",17.3,15.5,19.1,15.5 to 19.1,"$44,709","$42,746","$46,672","$42,746 to $46,672"
2012,Cattaraugus County (NY),Cattaraugus,"76,965","13,915","12,103","15,727","12,103 to 15,727",18.1,15.7,20.5,15.7 to 20.5,"$42,822","$40,558","$45,086","$40,558 to $45,086"
2012,Cayuga County (NY),Cayuga,"75,230","9,741","8,104","11,378","8,104 to 11,378",12.9,10.7,15.1,10.7 to 15.1,"$49,412","$47,673","$51,151","$47,673 to $51,151"
2012,Chautauqua County (NY),Chautauqua,"127,899","26,866","24,159","29,573","24,159 to 29,573",21,18.9,23.1,18.9 to 23.1,"$41,194","$39,745","$42,643","$39,745 to $42,643"
2012,Chemung County (NY),Chemung,"84,013","12,900","10,957","14,843","10,957 to 14,843",15.4,13.1,17.7,13.1 to 17.7,"$45,193","$41,751","$48,635","$41,751 to $48,635"
2012,Chenango County (NY),Chenango,"49,030","7,505","6,184","8,826","6,184 to 8,826",15.3,12.6,18,12.6 to 18.0,"$42,747","$39,629","$45,865","$39,629 to $45,865"
2012,Clinton County (NY),Clinton,"74,686","10,992","9,252","12,732","9,252 to 12,732",14.7,12.4,17,12.4 to 17.0,"$49,198","$46,130","$52,266","$46,130 to $52,266"
